P10_001N,P10_002N,P10_003N,P10_004N,P10_005N,P10_006N,P10_007N,P10_008N,P10_009N,state,county,tract,block group
1311,1200,398,354,8,27,3,410,111,42,101,017800,3
1199,1079,393,304,10,27,0,345,120,42,101,017800,4
536,456,130,139,7,8,0,172,80,42,101,017900,1
1233,1126,749,181,7,47,0,142,107,42,101,017900,2
616,559,349,92,2,9,1,106,57,42,101,017900,3
1126,1037,569,196,9,13,4,246,89,42,101,017900,4
808,688,216,237,3,29,1,202,120,42,101,017900,5
633,602,529,20,0,41,1,11,31,42,101,018001,1
658,615,542,27,3,3,1,39,43,42,101,018001,2
719,689,622,18,4,14,1,30,30,42,101,018001,3
1186,1149,1061,30,4,18,0,36,37,42,101,018002,1
956,896,846,11,2,8,0,29,60,42,101,018002,2
1589,1509,1405,49,2,26,0,27,80,42,101,018002,3
701,672,620,22,3,11,0,16,29,42,101,018002,4
528,506,498,4,0,1,1,2,22,42,101,018300,1
1026,997,963,14,0,4,0,16,29,42,101,018300,2
1229,1187,1167,5,0,3,0,12,42,42,101,018300,3
619,598,571,2,0,13,0,12,21,42,101,018300,4
520,493,480,3,4,0,0,6,27,42,101,018400,1
1213,1164,1124,5,2,9,0,24,49,42,101,018400,2
505,483,16,447,6,6,0,8,22,42,101,007000,2
618,597,7,584,1,5,0,0,21,42,101,007000,3
456,455,0,429,4,7,0,15,1,42,101,007000,4
618,585,22,544,5,3,0,11,33,42,101,007000,5
590,570,13,531,1,11,0,14,20,42,101,007101,1
675,645,26,593,2,11,0,13,30,42,101,007101,2
554,532,81,446,2,3,0,0,22,42,101,007101,3
721,687,37,631,0,8,0,11,34,42,101,007102,1
864,823,20,785,4,0,0,14,41,42,101,007102,2
691,657,14,632,0,2,0,9,34,42,101,007102,3
614,594,18,557,6,0,0,13,20,42,101,007102,4
577,550,7,529,1,4,0,9,27,42,101,007102,5
676,650,6,634,1,3,0,6,26,42,101,007200,1
582,564,34,510,1,3,0,16,18,42,101,007200,2
428,422,10,396,1,3,0,12,6,42,101,007200,3
490,480,9,458,1,8,0,4,10,42,101,007200,4
552,532,11,521,0,0,0,0,20,42,101,007200,5
702,685,35,622,1,11,0,16,17,42,101,007200,6
706,678,144,504,0,18,0,12,28,42,101,007300,1
597,573,73,487,0,3,0,10,24,42,101,007300,2
530,492,124,338,6,12,0,12,38,42,101,007300,3
727,698,172,481,0,30,2,13,29,42,101,007300,4
589,560,178,297,0,72,2,11,29,42,101,007400,1
591,544,141,357,2,28,3,13,47,42,101,007400,2
574,554,77,456,2,11,0,8,20,42,101,007400,3
1059,994,74,877,1,15,1,26,65,42,101,007400,4
497,469,6,455,0,5,0,3,28,42,101,007400,5
1589,1490,821,187,4,437,2,39,99,42,101,007700,1
557,518,171,269,5,65,0,8,39,42,101,007700,2
791,737,399,264,6,45,0,23,54,42,101,007800,1
507,464,303,116,0,26,0,19,43,42,101,007800,2
738,693,447,200,3,38,0,5,45,42,101,007800,3
870,805,614,120,3,49,1,18,65,42,101,007800,4
1015,926,652,150,0,104,0,20,89,42,101,007800,5
521,489,4,482,1,0,0,2,32,42,101,026500,3
487,482,10,472,0,0,0,0,5,42,101,026500,1
739,710,6,698,0,0,0,6,29,42,101,026500,2
717,694,5,674,2,0,0,13,23,42,101,026500,4
923,902,17,866,3,0,0,16,21,42,101,026500,5
2090,2031,20,1983,2,5,0,21,59,42,101,026600,1
1201,1184,13,1136,7,10,0,18,17,42,101,026600,2
1759,1711,4,1696,1,1,0,9,48,42,101,026600,3
2001,1957,32,1880,6,11,0,28,44,42,101,026700,1
1682,1643,15,1576,8,10,0,34,39,42,101,026700,2
716,689,9,676,0,0,0,4,27,42,101,026700,3
638,620,9,597,1,1,0,12,18,42,101,026700,4
